,ClusterGenes,HitGenes,GO_term,depth,p_value
104,"['TPO2', 'TPO3']","['853039', '856279']",GO:0022857,3,0.011435812
105,"['TPO2', 'TPO3']","['853039', '856279']",GO:0006811,5,0.011435812
106,"['TPO2', 'TPO3']","['853039', '856279']",GO:0005886,3,0.011435812
107,"['TPO2', 'TPO3']","['853039', '856279']",GO:0055085,5,0.011435812
108,"['TPO2', 'TPO3']","['853039', '856279']",GO:0042221,3,0.012262768
109,"['PFK2', 'MSB2', 'SVS1', 'SIM1', 'CIS3', 'CRH1', 'ALG8', 'UTH1', 'AVT4', 'SRL1']","['853916', '853282', '852897', '854683', '854421', '853102']",GO:0005576,2,1.05E-07
110,"['PFK2', 'MSB2', 'SVS1', 'SIM1', 'CIS3', 'CRH1', 'ALG8', 'UTH1', 'AVT4', 'SRL1']","['853916', '853282', '854683', '854421', '853102', '855940']",GO:0005618,4,1.05E-07
111,"['PFK2', 'MSB2', 'SVS1', 'SIM1', 'CIS3', 'CRH1', 'ALG8', 'UTH1', 'AVT4', 'SRL1']","['853916', '853282', '854683', '854421', '853102']",GO:0071554,3,0.000279552
112,"['PFK2', 'MSB2', 'SVS1', 'SIM1', 'CIS3', 'CRH1', 'ALG8', 'UTH1', 'AVT4', 'SRL1']","['854683', '853916', '853102']",GO:0016798,4,0.001033525
113,"['PFK2', 'MSB2', 'SVS1', 'SIM1', 'CIS3', 'CRH1', 'ALG8', 'UTH1', 'AVT4', 'SRL1']","['854683', '853916', '853102', '855245']",GO:0005975,4,0.004791238
114,"['PFK2', 'MSB2', 'SVS1', 'SIM1', 'CIS3', 'CRH1', 'ALG8', 'UTH1', 'AVT4', 'SRL1']","['853282', '854421', '852897']",GO:0030427,3,0.026995219
115,"['PFK2', 'MSB2', 'SVS1', 'SIM1', 'CIS3', 'CRH1', 'ALG8', 'UTH1', 'AVT4', 'SRL1']","['853102', '854233']",GO:0016757,4,0.069352959
116,"['TDH3', 'YMD8', 'TDH2', 'ENO1', 'ADH1', 'MPD2']","['854068', '853169', '853465', '853106']",GO:0032787,7,0.00025336
117,"['TDH3', 'YMD8', 'TDH2', 'ENO1', 'ADH1', 'MPD2']","['854068', '853169', '853465', '853106']",GO:0006091,4,0.000282327
118,"['TDH3', 'YMD8', 'TDH2', 'ENO1', 'ADH1', 'MPD2']","['854068', '853169', '853465', '853106']",GO:0051186,4,0.000340656
119,"['TDH3', 'YMD8', 'TDH2', 'ENO1', 'ADH1', 'MPD2']","['854068', '853169', '853465', '853106']",GO:0005975,4,0.000340656
120,"['TDH3', 'YMD8', 'TDH2', 'ENO1', 'ADH1', 'MPD2']","['854068', '853169', '853465', '853106']",GO:0055086,4,0.000340656
121,"['TDH3', 'YMD8', 'TDH2', 'ENO1', 'ADH1', 'MPD2']","['854068', '854065', '853465', '853106']",GO:0016491,3,0.0006389
