,ClusterGenes,HitGenes,GO_term,depth,p_value
284,"['AZR1', 'PHB2', 'NEJ1', 'PHB1', 'NAS6']","['853146', '853033']",GO:0048308,5,0.016032884
285,"['AZR1', 'PHB2', 'NEJ1', 'PHB1', 'NAS6']","['853146', '853033']",GO:0006457,3,0.025114272
286,"['AZR1', 'PHB2', 'NEJ1', 'PHB1', 'NAS6']","['853146', '853033']",GO:0007005,5,0.093408942
287,"['DOS2', 'MUP3', 'MAD1', 'CTF3', 'SAP30']","['852794', '851097', '855305']",GO:0033043,5,0.028494621
288,"['DOS2', 'MUP3', 'MAD1', 'CTF3', 'SAP30']","['852794', '851097', '855305']",GO:0005694,5,0.049730796
289,"['DOS2', 'MUP3', 'MAD1', 'CTF3', 'SAP30']","['852794', '851097']",GO:0007059,3,0.082211713
290,"['DOS2', 'MUP3', 'MAD1', 'CTF3', 'SAP30']","['852794', '851097']",GO:0048285,5,0.082211713
291,"['DOS2', 'MUP3', 'MAD1', 'CTF3', 'SAP30']","['852794', '851097']",GO:0051726,4,0.082211713
292,"['SWS2', 'CMC1', 'EPS1', 'FMC1', 'AIM31', 'VPS70', 'QRI7', 'MRP49']","['851454', '853687', '855643', '853721', '854709']",GO:0005739,5,0.057354442
293,"['AUS1', 'HMX1', 'GPM3', 'MSN2', 'YIL092W', 'AFT2', 'MDV1', 'MIC17', 'COX5A', 'ROX1', 'STB4', 'RGM1', 'NDE1', 'SWP82', 'CYC1', 'FET4', 'TIR3']","['855899', '856178', '855053', '855033', '855220']",GO:0003700,3,0.004872931
294,"['AUS1', 'HMX1', 'GPM3', 'MSN2', 'YIL092W', 'AFT2', 'MDV1', 'MIC17', 'COX5A', 'ROX1', 'STB4', 'RGM1', 'NDE1', 'SWP82', 'CYC1', 'FET4', 'TIR3']","['855899', '856178', '850495', '855053', '855033', '855220']",GO:0006366,7,0.033064115
295,"['AUS1', 'HMX1', 'GPM3', 'MSN2', 'YIL092W', 'AFT2', 'MDV1', 'MIC17', 'COX5A', 'ROX1', 'STB4', 'RGM1', 'NDE1', 'SWP82', 'CYC1', 'FET4', 'TIR3']","['855899', '850902', '855053']",GO:0006979,4,0.046260167
296,"['YSP3', 'ARA2', 'YOR059C', 'IMD3', 'CAM1', 'PKP2', 'RPP1A', 'GFD1', 'TKL1', 'PEX15', 'YKL027W', 'PEX10', 'FUN26', 'TEF4']","['854113', '851858']",GO:0007031,5,0.099271485
297,"['YSP3', 'ARA2', 'YOR059C', 'IMD3', 'CAM1', 'PKP2', 'RPP1A', 'GFD1', 'TKL1', 'PEX15', 'YKL027W', 'PEX10', 'FUN26', 'TEF4']","['856059', '853781']",GO:0005085,3,0.099271485
298,"['YSP3', 'ARA2', 'YOR059C', 'IMD3', 'CAM1', 'PKP2', 'RPP1A', 'GFD1', 'TKL1', 'PEX15', 'YKL027W', 'PEX10', 'FUN26', 'TEF4']","['856059', '853781']",GO:0008135,6,0.099271485
299,"['MBP1', 'MOD5', 'MGA2', 'SLP1']","['854448', '851503', '854851']",GO:0006366,7,0.047080779
300,"['PEX21', 'MET5', 'MET10', 'BNA3', 'HRQ1', 'MNS1', 'MET14', 'MET1', 'MET3']","['853386', '850588', '853869', '853466', '853943', '853602']",GO:0006520,4,8.22E-06
301,"['ALG6', 'UBC7', 'GAS5', 'ART5', 'OST3']","['854252', '854163']",GO:0006486,5,0.020712443
302,"['ALG6', 'UBC7', 'GAS5', 'ART5', 'OST3']","['854252', '854163', '855036', '854127']",GO:0016740,3,0.020712443
303,"['ALG6', 'UBC7', 'GAS5', 'ART5', 'OST3']","['854252', '854163']",GO:0016757,4,0.020712443
304,"['ALG6', 'UBC7', 'GAS5', 'ART5', 'OST3']","['854252', '854163', '855036']",GO:0005783,4,0.02251246
305,"['ALG6', 'UBC7', 'GAS5', 'ART5', 'OST3']","['855036', '854127']",GO:0071554,3,0.067170894
306,"['ALG6', 'UBC7', 'GAS5', 'ART5', 'OST3']","['854252', '854163', '855036']",GO:0012505,3,0.087841041
307,"['PRY1', 'YMC1', 'PMA2', 'MUP1']","['852946', '856171']",GO:0006865,6,0.005694065
308,"['PRY1', 'YMC1', 'PMA2', 'MUP1']","['856071', '852946', '856171']",GO:0022857,3,0.005694065
309,"['PRY1', 'YMC1', 'PMA2', 'MUP1']","['856071', '852946', '856171']",GO:0006811,5,0.005694065
310,"['PRY1', 'YMC1', 'PMA2', 'MUP1']","['856071', '852946', '856171']",GO:0055085,5,0.007444632
311,"['NMD4', 'INP1', 'MVP1', 'MRL1', 'APS2', 'NEM1']","['856194', '855016', '853521']",GO:0031410,5,0.034983173
312,"['NMD4', 'INP1', 'MVP1', 'MRL1', 'APS2', 'NEM1']","['856194', '855016', '853521', '856393']",GO:0012505,3,0.061232111
313,"['CAP2', 'DIP5', 'ARF3', 'ATX2', 'TWF1', 'DOT5']","['854777', '852971', '854261']",GO:0007010,5,0.04310159
314,"['CAP2', 'DIP5', 'ARF3', 'ATX2', 'TWF1', 'DOT5']","['854777', '852971']",GO:0008092,4,0.059022389
315,"['PRY3', 'ZRT3', 'AIM44', 'HSP150', 'IZH4', 'YKL075C', 'PIR1']","['853281', '853367', '853692']",GO:0005576,2,0.001957706
316,"['PRY3', 'ZRT3', 'AIM44', 'HSP150', 'IZH4', 'YKL075C', 'PIR1']","['853281', '853367', '853692']",GO:0005618,4,0.001957706
317,"['PRY3', 'ZRT3', 'AIM44', 'HSP150', 'IZH4', 'YKL075C', 'PIR1']","['854052', '853679']",GO:0006873,5,0.068823846
318,"['ADH4', 'FIT2', 'FIT1', 'ARN2', 'PPM2', 'YPL109C', 'FIT3', 'MSC2']","['851786', '852147', '854565', '854564', '856338']",GO:0006811,5,0.000948496
319,"['ADH4', 'FIT2', 'FIT1', 'ARN2', 'PPM2', 'YPL109C', 'FIT3', 'MSC2']","['854565', '854564', '852147']",GO:0005576,2,0.002233507
320,"['ADH4', 'FIT2', 'FIT1', 'ARN2', 'PPM2', 'YPL109C', 'FIT3', 'MSC2']","['854565', '854564', '852147']",GO:0005618,4,0.002233507
321,"['ADH4', 'FIT2', 'FIT1', 'ARN2', 'PPM2', 'YPL109C', 'FIT3', 'MSC2']","['851786', '856338']",GO:0006873,5,0.07352649
322,"['FOX2', 'AGX1', 'PAN6', 'ATO2', 'CRF1', 'FBP1', 'QDR1', 'EAF3', 'SCD6', 'RPE1', 'YDR338C', 'ACS1', 'JEN1', 'YHR202W', 'YKL162C', 'ODC1', 'MAL11', 'NUP60', 'FUM1', 'IDP2', 'CAT2']","['854965', '853878', '854661', '851245', '850871']",GO:0032787,7,0.012452927
323,"['FOX2', 'AGX1', 'PAN6', 'ATO2', 'CRF1', 'FBP1', 'QDR1', 'EAF3', 'SCD6', 'RPE1', 'YDR338C', 'ACS1', 'JEN1', 'YHR202W', 'YKL162C', 'ODC1', 'MAL11', 'NUP60', 'FUM1', 'IDP2', 'CAT2']","['855969', '853663', '854686', '851938', '855736', '853207']",GO:0022857,3,0.025114413
324,"['FOX2', 'AGX1', 'PAN6', 'ATO2', 'CRF1', 'FBP1', 'QDR1', 'EAF3', 'SCD6', 'RPE1', 'YDR338C', 'ACS1', 'JEN1', 'YHR202W', 'YKL162C', 'ODC1', 'MAL11', 'NUP60', 'FUM1', 'IDP2', 'CAT2']","['855969', '853663', '854686', '851938', '855736', '853207']",GO:0055085,5,0.062094079
325,"['ISU2', 'NCS6', 'YIL001W', 'ALY1', 'MUK1', 'PRM10']","['852661', '854401']",GO:0009451,6,0.06441768
326,"['ISU2', 'NCS6', 'YIL001W', 'ALY1', 'MUK1', 'PRM10']","['852661', '854401']",GO:0008033,8,0.06441768
